"ANONID","SUBJECT","CATALOG_NBR","GRD_PTS_PER_UNIT","GPAO","DIV","ANON_INSTR_ID","TERM","MAJOR3_DESCR","MAJOR2_DESCR","MAJOR1_DESCR","HSGPA","LAST_ACT_ENGL_SCORE","LAST_ACT_MATH_SCORE","LAST_ACT_READ_SCORE","LAST_ACT_SCIRE_SCORE","LAST_ACT_COMP_SCORE","LAST_SATI_VERB_SCORE","LAST_SATI_MATH_SCORE","LAST_SATI_TOTAL_SCORE","SEX","STDNT_GROUP1","STDNT_GROUP2","MAJOR1_DEPT","MAJOR2_DEPT","MAJOR3_DEPT","ADMIT_TERM","MAJOR1_TERM","MAJOR2_TERM","MAJOR3_TERM"
8,"STATS",250,3.7,3.5025641025641,"S",1260,130,NA,NA,NA,3.9,31,22,34,22,27,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
48,"STATS",250,4,3.93684210526316,"S",1260,119,NA,NA,"Psychology BA",0,34,33,32,30,32,700,720,1420,"F",NA,NA,"Psychology Department",NA,NA,119,123,NA,NA
67,"STATS",250,4,3.80909090909091,"S",1260,135,NA,NA,NA,4,34,33,34,31,33,NA,NA,NA,"M","B","E",NA,NA,NA,130,NA,NA,NA
99,"STATS",250,2.3,3.39868421052632,"S",386,122,NA,NA,"Psychology BA",0,26,21,NA,NA,26,550,540,1090,"F","E",NA,"Psychology Department",NA,NA,118,129,NA,NA
124,"STATS",250,4,3.87777777777778,"S",1260,131,NA,NA,NA,3.9,30,33,36,29,32,NA,NA,NA,"F",NA,"G",NA,NA,NA,130,NA,NA,NA
135,"STATS",250,2.3,2.78095238095238,"S",386,131,NA,NA,NA,3.5,21,26,23,25,24,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
136,"STATS",250,1,2.81206896551724,"S",386,130,NA,NA,NA,3.8,31,24,33,25,28,NA,NA,NA,"F",NA,NA,NA,NA,NA,122,NA,NA,NA
144,"STATS",250,4,3.95384615384615,"S",1802,130,NA,NA,NA,4,24,33,NA,NA,34,650,800,1450,"M",NA,"G",NA,NA,NA,126,NA,NA,NA
161,"STATS",250,4,4,"S",1260,122,NA,NA,"Mathematics BS",0,NA,NA,NA,NA,NA,NA,NA,NA,"F",NA,NA,"Mathematics Department",NA,NA,122,131,NA,NA
169,"STATS",250,3.7,3.2,"S",1260,118,NA,NA,"Biopsych, Cognit & Neurosci BS",3.9,32,30,NA,NA,27,600,670,1270,"F",NA,NA,"Psychology Department",NA,NA,114,127,NA,NA
175,"STATS",250,4,3.26825396825397,"S",1260,134,NA,NA,NA,3.9,28,33,27,30,30,NA,NA,NA,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
212,"STATS",250,2.3,2.77333333333333,"S",386,122,NA,NA,"English BA",3.7,34,32,31,29,32,NA,NA,NA,"F",NA,NA,"English Language & Literature Dept",NA,NA,118,129,NA,NA
219,"STATS",250,4,3.52857142857143,"S",1260,134,NA,NA,NA,3.9,34,36,32,30,33,NA,NA,NA,"M",NA,"G",NA,NA,NA,134,NA,NA,NA
231,"STATS",250,2.3,3.05555555555556,"S",1260,118,NA,NA,"Sport Management BA",3.6,24,27,23,25,25,NA,NA,NA,"M",NA,NA,"School Of Kinesiology",NA,NA,118,131,NA,NA
249,"STATS",250,3.3,3.33478260869565,"S",1260,119,NA,NA,"Business Administration BBA",3.9,24,29,NA,NA,28,560,680,1240,"M",NA,NA,"School of Business Administration",NA,NA,118,131,NA,NA
255,"STATS",250,3.3,3.47272727272727,"S",1446,134,NA,NA,"Arab,Arm,Pers,Turk & Islamic S",3.4,28,32,24,27,28,NA,NA,NA,"F",NA,"G","Near Eastern Studies Department",NA,NA,122,135,NA,NA
270,"STATS",250,2.3,3.28461538461538,"S",386,130,NA,NA,"Biopsych, Cognit & Neurosci BA",3.8,31,24,31,26,28,NA,NA,NA,"F",NA,NA,"Psychology Department",NA,NA,122,135,NA,NA
290,"STATS",250,3.7,3.66666666666667,"S",1260,127,NA,NA,NA,4,34,29,34,33,33,NA,NA,NA,"F",NA,"G",NA,NA,NA,126,NA,NA,NA
311,"STATS",250,3.7,3.64090909090909,"S",386,131,NA,NA,NA,0,29,35,NA,NA,31,700,720,1420,"M",NA,NA,NA,NA,NA,134,NA,NA,NA
359,"STATS",250,4,3.45762711864407,"S",1260,123,NA,NA,"Business Administration BBA",4,31,32,25,34,30,NA,NA,NA,"M",NA,NA,"School of Business Administration",NA,NA,122,135,NA,NA
364,"STATS",250,3.7,3.49024390243902,"S",71,134,NA,NA,NA,3.6,32,33,33,31,33,NA,NA,NA,"F",NA,NA,NA,NA,NA,126,NA,NA,NA
388,"STATS",250,4,3.75909090909091,"S",1260,131,NA,NA,NA,3.8,34,31,29,32,32,720,670,1390,"F",NA,NA,NA,NA,NA,130,NA,NA,NA
390,"STATS",250,2,2.648,"S",386,123,NA,NA,"Psychology BS",3.81,28,30,21,24,26,NA,NA,NA,"F","E",NA,"Psychology Department",NA,NA,118,131,NA,NA
392,"STATS",250,4,3.87586206896552,"S",1802,127,NA,NA,"Nursing BS Fresh",3.9,35,34,33,33,34,NA,NA,NA,"F",NA,NA,"School Of Nursing",NA,NA,122,135,NA,NA
398,"STATS",250,4,3.67142857142857,"S",386,127,NA,NA,NA,3.8,29,31,30,32,30,NA,NA,NA,"M",NA,NA,NA,NA,NA,126,NA,NA,NA
